finalgrade,userid,username
0.00000,4,anon2
7.49561,5,anon3
5.97328,6,anon4
7.20316,7,anon5
7.82913,8,anon6
8.30100,9,anon7
4.69217,10,anon8
6.92563,11,anon9
6.00020,12,anon10
1.63510,13,anon11
7.20803,14,anon12
7.56594,15,anon13
5.15067,16,anon14
8.00944,17,anon15
5.98637,18,anon16
5.72447,19,anon17
8.55610,20,anon18
6.28778,21,anon19
6.73118,22,anon20
6.70725,23,anon21
6.43736,24,anon22
5.89080,25,anon23
1.97337,26,anon24
5.79059,27,anon25
7.06675,28,anon26
7.99681,29,anon27
7.20626,30,anon28
8.73811,31,anon29
7.90129,32,anon30
7.81028,33,anon31
7.91208,35,anon33
9.38853,36,anon34
8.37842,37,anon35
9.42993,38,anon36
9.13767,41,anon39
9.40318,42,anon40
8.68312,43,anon41
8.26805,44,anon42
8.34815,45,anon43
8.11445,46,anon44
6.99860,47,anon45
8.70048,48,anon46
7.34234,49,anon47
7.27889,50,anon48
9.20781,51,anon49
6.17825,52,anon50
8.85784,53,anon51
7.02075,54,anon52
8.64453,55,anon53
8.94192,56,anon54
8.89657,57,anon55
5.73428,58,anon56
7.56840,59,anon57
8.22998,60,anon58
8.29871,61,anon59
7.36157,62,anon60
7.16786,63,anon61
8.35031,64,anon62
9.13647,65,anon63
7.94763,66,anon64
9.22065,67,anon65
8.39830,68,anon66
8.91126,69,anon67
7.08929,70,anon68
9.04258,71,anon69
9.55106,72,anon70
8.37930,73,anon71
7.42421,74,anon72
8.64175,75,anon73
8.48483,76,anon74
9.49739,77,anon75
9.11188,78,anon76
9.53177,79,anon77
9.33571,80,anon78
5.94968,81,anon79
6.02045,82,anon80
0.16667,83,anon81
7.43644,84,anon82
8.36122,85,anon83
7.48176,86,anon84
8.67771,87,anon85
7.00669,88,anon86
7.13741,89,anon87
5.90995,90,anon88
7.75302,91,anon89
5.60835,92,anon90
7.22302,93,anon91
7.88417,94,anon92
7.02216,95,anon93
8.07647,96,anon94
3.97417,97,anon95
8.69234,98,anon96
6.47679,99,anon97
7.47207,100,anon98
3.41905,101,anon99
3.80338,102,anon100
NULL,103,anon101
