name,attempts_permited,quiz,attempts_realized,grade_attempt,time_to_conclusion,username,userid,state
"TREINO NINJA [Tópico 09]",2,18,1,9.16667,30:52,anon3,5,finished
"TREINO NINJA [Tópico 08]",2,17,1,7.33333,19:50,anon3,5,finished
"TREINO NINJA [Tópico 7]",2,16,1,9.04167,22:44,anon3,5,finished
"HORA DO CÓDIGO [GERAL]",0,15,1,10.00000,26:27,anon3,5,finished
"HORA DO CÓDIGO 1 [TÓPICO 7]",0,14,1,10.00000,17:06,anon3,5,finished
"TREINO NINJA [TÓPICO 06 - LISTAS E CIA]",2,13,1,8.00000,18:30,anon3,5,finished
"TREINO NINJA [Tópicos 5 e 6]",2,11,1,6.75000,32:53,anon3,5,finished
"TREINO NINJA [Tópicos 5 e 6]",2,11,2,7.00000,34:57,anon3,5,finished
"HORA DO CÓDIGO [Tópico 04]",0,10,1,10.00000,02:18,anon3,5,finished
"TREINO NINJA [Tópico 04]",3,9,1,8.12500,21:41,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,1,0.00000,19:07,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,2,0.00000,09:03,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,3,0.00000,01:39,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,4,0.00000,03:48,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,5,0.00000,03:07,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,6,0.00000,05:44,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,7,0.00000,03:25,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,8,0.00000,02:56,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,9,0.00000,00:26,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,10,0.00000,00:55,anon3,5,finished
"HORA DO CÓDIGO [Tópico 03]",0,8,11,5.00000,06:42,anon3,5,finished
"TREINO NINJA [Tópico 03]",3,7,1,8.83333,26:24,anon3,5,finished
"HANDS-ON [Tópico 02]",1,6,1,4.90000,56:30,anon3,5,finished
"TREINO NINJA [Tópico 02]",3,5,1,7.23333,49:39,anon3,5,finished
"TREINO NINJA [Tópico 01]",0,4,1,8.50000,22:31,anon3,5,finished
PROVA-02,1,3,1,6.80417,31:48,anon3,5,finished
